Tittle,Year Release,MPAA Rating,Duration(minutes),IMDB Score,Metascore,Genre 1,Genre 2,Genre 3,Gross($M)
The Shawshank Redemption,1994,R,142,9.3,80,Drama,NA,NA,28.34
The Dark Knight,2008,PG-13,152,9,84,Action,Crime,Drama,534.86
Inception,2010,PG-13,148,8.8,74,Action,Adventure,Sci-Fi,292.58
Fight Club,1999,R,139,8.8,66,Drama,NA,NA,37.03
Pulp Fiction,1994,17+,154,8.9,94,Crime,Drama,NA,107.93
Forrest Gump,1994,PG-13,142,8.8,82,Drama,Romance,NA,330.25
The Matrix,1999,R,136,8.7,73,Action,Sci-Fi,NA,171.48
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,8.8,92,Action,Adventure,Drama,315.54
The Lord of the Rings: The Return of the King,2003,PG-13,201,8.9,94,Action,Adventure,Drama,377.85
The Godfather,1972,NA,175,9.2,100,Crime,Drama,NA,134.97
The Dark Knight Rises,2012,PG-13,164,8.4,78,Action,Adventure,NA,448.14
Interstellar,2014,PG-13,169,8.6,74,Adventure,Drama,Sci-Fi,188.02
The Lord of the Rings: The Two Towers,2002,PG-13,179,8.7,87,Action,Adventure,Drama,342.55
Se7en,1995,R,127,8.6,65,Crime,Drama,Mystery,100.13
Django Unchained,2012,21+,165,8.4,81,Drama,Western,NA,162.81
Gladiator,2000,R,155,8.5,67,Action,Adventure,Drama,187.71
Batman Begins,2005,D,140,8.2,70,Action,Adventure,NA,206.85
The Silence of the Lambs,1991,NA,118,8.6,85,Crime,Drama,Thriller,130.74
The Avengers,2012,17+,143,8,69,Action,Adventure,Sci-Fi,623.28
Inglourious Basterds,2009,17+,153,8.3,69,Adventure,Drama,War,120.54
Saving Private Ryan,1998,R,169,8.6,91,Drama,War,NA,216.54
Star Wars,1977,PG,121,8.6,90,Action,Adventure,Fantasy,322.74
Schindler's List,1993,R,195,8.9,94,Biography,Drama,History,96.9
The Departed,2006,R,151,8.5,85,Crime,Drama,Thriller,132.38
The Prestige,2006,PG-13,130,8.5,66,Drama,Mystery,Sci-Fi,53.09
The Wolf of Wall Street,2013,21+,180,8.2,75,Biography,Crime,Drama,116.9
Star Wars: Episode V - The Empire Strikes Back,1980,PG,124,8.7,82,Action,Adventure,Fantasy,290.48
The Green Mile,1999,R,189,8.6,61,Crime,Drama,Fantasy,136.8
The Godfather: Part II,1974,NA,202,9,90,Crime,Drama,NA,57.3
Shutter Island,2010,R,138,8.2,63,Mystery,Thriller,NA,128.01
Memento,2000,R,113,8.4,80,Mystery,Thriller,NA,25.54
Avatar,2009,PG-13,162,7.8,83,Action,Adventure,Fantasy,760.51
American Beauty,1999,R,122,8.3,84,Drama,NA,NA,130.1
Back to the Future,1985,NA,116,8.5,87,Adventure,Comedy,Sci-Fi,210.61
Titanic,1997,PG-13,194,7.8,75,Drama,Romance,NA,659.33
Guardians of the Galaxy,2014,PG-13,121,8,76,Action,Adventure,Comedy,333.18
American History X,1998,R,119,8.5,62,Drama,NA,NA,6.72
V for Vendetta,2005,R,132,8.2,62,Action,Drama,Sci-Fi,70.51
Léon,1994,R,110,8.5,64,Action,Crime,Drama,19.5
Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,143,8,63,Action,Adventure,Fantasy,305.41
Goodfellas,1990,NA,146,8.7,90,Biography,Crime,Drama,46.84
Kill Bill: Vol. 1,2003,21+,111,8.1,69,Action,Crime,Thriller,70.1
WALL·E,2008,NA,98,8.4,95,Animation,Adventure,Family,223.81
Terminator 2: Judgment Day,1991,R,137,8.5,75,Action,Sci-Fi,NA,204.84
The Usual Suspects,1995,R,106,8.5,77,Crime,Mystery,Thriller,23.34
Braveheart,1995,R,178,8.3,68,Biography,Drama,History,75.6
Finding Nemo,2003,NA,100,8.1,90,Animation,Adventure,Comedy,380.84
Star Wars: Episode VI - Return of the Jedi,1983,PG,131,8.3,58,Action,Adventure,Fantasy,309.13
The Lion King,1994,G,88,8.5,88,Animation,Adventure,Drama,422.78
Iron Man,2008,PG-13,126,7.9,79,Action,Adventure,Sci-Fi,318.41
The Truman Show,1998,PG,103,8.1,90,Comedy,Drama,Sci-Fi,125.62
Up,2009,PG,96,8.2,88,Animation,Adventure,Comedy,293
Reservoir Dogs,1992,R,99,8.3,79,Crime,Drama,Thriller,2.83
One Flew Over the Cuckoo's Nest,1975,NA,133,8.7,83,Drama,NA,NA,112
Joker,2019,17+,122,8.5,59,Crime,Drama,Thriller,335.45
The Sixth Sense,1999,PG-13,107,8.1,64,Drama,Mystery,Thriller,293.51
Eternal Sunshine of the Spotless Mind,2004,R,108,8.3,89,Drama,Romance,Sci-Fi,34.4
Deadpool,2016,D,108,8,65,Action,Adventure,Comedy,363.07
The Shining,1980,NA,146,8.4,66,Drama,Horror,NA,44.02
Toy Story,1995,SU,81,8.3,95,Animation,Adventure,Comedy,191.8
Raiders of the Lost Ark,1981,PG,115,8.4,85,Action,Adventure,NA,248.16
Mad Max: Fury Road,2015,R,120,8.1,90,Action,Adventure,Sci-Fi,154.06
Jurassic Park,1993,PG-13,127,8.1,68,Action,Adventure,Sci-Fi,402.45
Star Wars: Episode VII - The Force Awakens,2015,SU,138,7.9,80,Action,Adventure,Sci-Fi,936.66
Good Will Hunting,1997,R,126,8.3,70,Drama,Romance,NA,138.43
Gone Girl,2014,R,149,8.1,79,Drama,Mystery,Thriller,167.77
No Country for Old Men,2007,R,122,8.1,91,Crime,Drama,Thriller,74.28
A Beautiful Mind,2001,PG-13,135,8.2,72,Biography,Drama,NA,170.74
The Hunger Games,2012,PG-13,142,7.2,68,Action,Adventure,Sci-Fi,408.01
Avengers: Infinity War,2018,13+,149,8.4,68,Action,Adventure,Sci-Fi,678.82
Catch Me If You Can,2002,PG-13,141,8.1,75,Biography,Crime,Drama,164.62
"Monsters, Inc.",2001,G,92,8,79,Animation,Adventure,Comedy,289.92
The Terminator,1984,NA,107,8,84,Action,Sci-Fi,NA,38.4
Slumdog Millionaire,2008,R,120,8,84,Drama,Romance,NA,141.32
Avengers: Endgame,2019,13+,181,8.4,78,Action,Adventure,Drama,858.37
Alien,1979,R,117,8.4,89,Horror,Sci-Fi,NA,78.9
Die Hard,1988,NA,132,8.2,72,Action,Thriller,NA,83.01
Snatch,2000,R,104,8.3,55,Comedy,Crime,NA,30.33
Gravity,2013,PG-13,91,7.7,96,Drama,Sci-Fi,Thriller,274.09
Requiem for a Dream,2000,R,102,8.3,68,Drama,NA,NA,3.64
Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,130,8.1,85,Adventure,Drama,Fantasy,381.01
The Martian,2015,PG-13,144,8,80,Adventure,Drama,Sci-Fi,228.43
The Hobbit: An Unexpected Journey,2012,PG-13,169,7.8,58,Adventure,Fantasy,NA,303
A Clockwork Orange,1971,NA,136,8.3,77,Crime,Drama,Sci-Fi,6.21
Toy Story 3,2010,SU,103,8.3,92,Animation,Adventure,Comedy,415
The Intouchables,2011,R,112,8.5,57,Biography,Comedy,Drama,13.18
Iron Man Three,2013,13+,130,7.2,62,Action,Adventure,Sci-Fi,409.01
Thor,2011,PG-13,115,7,57,Action,Adventure,Fantasy,181.03
Sin City,2005,R,124,8,74,Crime,Thriller,NA,74.1
Donnie Darko,2001,R,113,8,88,Drama,Mystery,Sci-Fi,1.48
Avengers: Age of Ultron,2015,13+,141,7.3,66,Action,Adventure,Sci-Fi,459.01
Scarface,1983,NA,170,8.3,65,Crime,Drama,NA,45.6
Captain America: The First Avenger,2011,PG-13,124,6.9,66,Action,Adventure,Sci-Fi,176.65
Captain America: The Winter Soldier,2014,PG-13,136,7.7,70,Action,Adventure,Sci-Fi,259.77
300,2006,R,117,7.6,52,Action,Drama,NA,210.61
The Big Lebowski,1998,R,117,8.1,71,Comedy,Crime,Sport,17.5
Star Wars: Episode I - The Phantom Menace,1999,PG,136,6.5,51,Action,Adventure,Fantasy,474.54
The Pianist,2002,R,150,8.5,85,Biography,Drama,Music,32.57
Taxi Driver,1976,NA,114,8.3,94,Crime,Drama,NA,28.26
Iron Man 2,2010,PG-13,124,7,57,Action,Adventure,Sci-Fi,312.43
Gran Torino,2008,R,116,8.1,72,Drama,NA,NA,148.1
The Hangover,2009,R,100,7.7,73,Comedy,NA,NA,277.32
Whiplash,2014,R,106,8.5,88,Drama,Music,NA,13.09
Star Wars: Episode III - Revenge of the Sith,2005,D,140,7.5,68,Action,Adventure,Fantasy,380.26
The Grand Budapest Hotel,2014,R,99,8.1,88,Adventure,Comedy,Crime,59.1
Amélie,2001,R,122,8.3,69,Comedy,Romance,NA,33.23
The Revenant,2015,R,156,8,76,Action,Adventure,Drama,183.64
Black Swan,2010,R,108,8,79,Drama,Thriller,NA,106.95
Cidade de Deus,2002,R,130,8.6,79,Crime,Drama,NA,7.56
Blade Runner,1982,R,117,8.1,84,Action,Sci-Fi,Thriller,32.87
Indiana Jones and the Last Crusade,1989,PG-13,127,8.2,65,Action,Adventure,NA,197.17
Man of Steel,2013,PG-13,143,7,55,Action,Adventure,Sci-Fi,291.05
Spider-Man,2002,PG-13,121,7.3,73,Action,Adventure,Sci-Fi,403.71
"Il buono, il brutto, il cattivo",1966,NA,161,8.8,90,Western,NA,NA,6.1
I Am Legend,2007,PG-13,101,7.2,65,Action,Adventure,Drama,256.39
12 Angry Men,1957,NA,96,9,96,Crime,Drama,NA,4.36
The Imitation Game,2014,PG-13,114,8,73,Biography,Drama,Thriller,91.13
Kill Bill: Vol. 2,2004,21+,137,8,83,Action,Crime,Thriller,66.21
Full Metal Jacket,1987,NA,116,8.3,76,Drama,War,NA,46.36
How to Train Your Dragon,2010,PG,98,8.1,75,Animation,Action,Adventure,217.58
Silver Linings Playbook,2012,R,122,7.7,81,Comedy,Drama,Romance,132.09
X-Men: Days of Future Past,2014,PG-13,132,7.9,75,Action,Adventure,Sci-Fi,233.92
Captain America: Civil War,2016,13+,147,7.8,75,Action,Adventure,Sci-Fi,408.08
The Incredibles,2004,NA,115,8,90,Animation,Action,Adventure,261.44
Pirates of the Caribbean: Dead Man's Chest,2006,PG-13,151,7.3,53,Action,Adventure,Fantasy,423.32
Aliens,1986,R,137,8.3,84,Action,Adventure,Sci-Fi,85.16
Harry Potter and the Sorcerer's Stone,2001,PG,152,7.6,64,Adventure,Family,Fantasy,317.58
